"causabas","capitulo_cid10","grupo_cid10","causabas_categoria","causabas_subcategoria"
"H623"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido externo","H62 Transtornos do ouvido externo em doenças classificadas em outra parte","H623 Otite externa em outras doenças infecciosas e parasitárias classificadas em outra parte"
"H624"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido externo","H62 Transtornos do ouvido externo em doenças classificadas em outra parte","H624 Otite externa em outras doenças classificadas em outra parte"
"H628"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido externo","H62 Transtornos do ouvido externo em doenças classificadas em outra parte","H628 Outros transtornos do ouvido externo em doenças classificadas em outra parte"
"H650"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H65 Otite média não-supurativa","H650 Otite média aguda serosa"
"H651"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H65 Otite média não-supurativa","H651 Outras otites médias agudas não-supurativas"
"H652"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H65 Otite média não-supurativa","H652 Otite média serosa crônica"
"H653"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H65 Otite média não-supurativa","H653 Otite média mucóide crônica"
"H654"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H65 Otite média não-supurativa","H654 Outras otites médias crônicas não-supurativas"
"H659"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H65 Otite média não-supurativa","H659 Otite média não-supurativa, não especificada"
"H660"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H66 Otite média supurativa e as não especificadas","H660 Otite média aguda supurativa"
"H661"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H66 Otite média supurativa e as não especificadas","H661 Otite média tubotimpânica supurativa crônica"
"H662"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H66 Otite média supurativa e as não especificadas","H662 Otite média ático-antral supurativa crônica"
"H663"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H66 Otite média supurativa e as não especificadas","H663 Outras otites médias supurativas crônicas"
"H664"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H66 Otite média supurativa e as não especificadas","H664 Otite média supurativa não especificada"
"H669"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H66 Otite média supurativa e as não especificadas","H669 Otite média não especificada"
"H670"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H67 Otite média em doenças classificadas em outra parte","H670 Otite média em doenças bacterianas classificadas em outra parte"
"H671"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H67 Otite média em doenças classificadas em outra parte","H671 Otite média em doenças virais classificadas em outra parte"
"H678"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H67 Otite média em doenças classificadas em outra parte","H678 Otite média em outras doenças classificadas em outra parte"
"H680"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H68 Salpingite e obstrução da trompa de Eustáquio","H680 Salpingite da trompa de Eustáquio"
"H681"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H68 Salpingite e obstrução da trompa de Eustáquio","H681 Obstrução da trompa de Eustáquio"
"H690"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H69 Outros transtornos da trompa de Eustáquio","H690 Trompa de Eustáquio aberta (patente) (patulosa)"
"H698"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H69 Outros transtornos da trompa de Eustáquio","H698 Outros transtornos especificados da trompa de Eustáquio"
"H699"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H69 Outros transtornos da trompa de Eustáquio","H699 Transtorno não especificado da trompa de Eustáquio"
"H700"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H70 Mastoidite e afecções correlatas","H700 Mastoidite aguda"
"H701"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H70 Mastoidite e afecções correlatas","H701 Mastoidite crônica"
"H702"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H70 Mastoidite e afecções correlatas","H702 Petrosite"
"H708"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H70 Mastoidite e afecções correlatas","H708 Outras mastoidites e afecções relacionadas com a mastoidite"
"H709"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H70 Mastoidite e afecções correlatas","H709 Mastoidite não especificada"
"H71"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H71 Colesteatoma do ouvido médio","H71 Colesteatoma do ouvido médio"
"H720"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H72 Perfuração da membrana do tímpano","H720 Perfuração central da membrana do tímpano"
"H721"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H72 Perfuração da membrana do tímpano","H721 Perfuração ática da membrana do tímpano"
"H722"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H72 Perfuração da membrana do tímpano","H722 Outras perfurações marginais da membrana do tímpano"
"H728"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H72 Perfuração da membrana do tímpano","H728 Outras perfurações da membrana do tímpano"
"H729"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H72 Perfuração da membrana do tímpano","H729 Perfuração não especificada da membrana do tímpano"
"H730"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H73 Outros transtornos da membrana do tímpano","H730 Miringite aguda"
"H731"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H73 Outros transtornos da membrana do tímpano","H731 Miringite crônica"
"H738"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H73 Outros transtornos da membrana do tímpano","H738 Outros transtornos especificados da membrana do tímpano"
"H739"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H73 Outros transtornos da membrana do tímpano","H739 Transtorno não especificado da membrana do tímpano"
"H740"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H74 Outros transtornos do ouvido médio e da mastóide","H740 Timpanosclerose"
"H741"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H74 Outros transtornos do ouvido médio e da mastóide","H741 Doença adesiva do ouvido médio"
"H742"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H74 Outros transtornos do ouvido médio e da mastóide","H742 Descontinuidade e deslocamento dos ossículos do ouvido"
"H743"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H74 Outros transtornos do ouvido médio e da mastóide","H743 Outras anormalidades adquiridas dos ossículos do ouvido"
"H744"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H74 Outros transtornos do ouvido médio e da mastóide","H744 Pólipo do ouvido médio"
"H748"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H74 Outros transtornos do ouvido médio e da mastóide","H748 Outros transtornos especificados do ouvido médio e da mastóide"
"H749"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H74 Outros transtornos do ouvido médio e da mastóide","H749 Transtorno não especificado do ouvido médio e da mastóide"
"H750"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H75 Outros transtornos do ouvido médio e da mastóide em doenças classificadas em outra parte","H750 Mastoidite em doenças infecciosas e parasitárias classificadas em outra parte"
"H758"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H75 Outros transtornos do ouvido médio e da mastóide em doenças classificadas em outra parte","H758 Outros transtornos especificados do ouvido médio e da mastóide em doenças classificadas em outra parte"
"H800"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H80 Otosclerose","H800 Otosclerose que compromete a janela oval, não-obliterante"
"H801"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H80 Otosclerose","H801 Otosclerose que compromete a janela oval, obliterante"
"H802"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H80 Otosclerose","H802 Otosclerose da cóclea"
"H808"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H80 Otosclerose","H808 Outras otoscleroses"
"H809"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H80 Otosclerose","H809 Otosclerose não especificada"
"H810"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H81 Transtornos da função vestibular","H810 Doença de Ménière"
"H811"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H81 Transtornos da função vestibular","H811 Vertigem paroxística benigna"
"H812"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H81 Transtornos da função vestibular","H812 Neuronite vestibular"
"H813"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H81 Transtornos da função vestibular","H813 Outras vertigens periféricas"
"H814"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H81 Transtornos da função vestibular","H814 Vertigem de origem central"
"H818"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H81 Transtornos da função vestibular","H818 Outros transtornos da função vestibular"
"H819"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H81 Transtornos da função vestibular","H819 Transtornos não especificados da função vestibular"
"H82"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H82 Síndromes vertiginosas em doenças classificadas em outra parte","H82 Síndromes vertiginosas em doenças classificadas em outra parte"
"H830"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H83 Outros transtornos do ouvido interno","H830 Labirintite"
"H831"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H83 Outros transtornos do ouvido interno","H831 Fístula do labirinto"
"H832"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H83 Outros transtornos do ouvido interno","H832 Disfunção do labirinto"
"H833"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H83 Outros transtornos do ouvido interno","H833 Efeitos do ruído sobre o ouvido interno"
"H838"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H83 Outros transtornos do ouvido interno","H838 Outros transtornos especificados do ouvido interno"
"H839"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H83 Outros transtornos do ouvido interno","H839 Transtorno não especificado do ouvido interno"
"H900"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H90 Perda de audição por transtorno de condução e/ou neuro-sensorial","H900 Perda de audição bilateral devida a transtorno de condução"
"H901"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H90 Perda de audição por transtorno de condução e/ou neuro-sensorial","H901 Perda de audição unilateral por transtorno de condução, sem restrição de audição contralateral"
"H902"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H90 Perda de audição por transtorno de condução e/ou neuro-sensorial","H902 Perda não especificada de audição devida a transtorno de condução"
"H903"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H90 Perda de audição por transtorno de condução e/ou neuro-sensorial","H903 Perda de audição bilateral neuro-sensorial"
"H904"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H90 Perda de audição por transtorno de condução e/ou neuro-sensorial","H904 Perda de audição unilateral neuro-sensorial, sem restrição de audição contralateral"
"H905"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H90 Perda de audição por transtorno de condução e/ou neuro-sensorial","H905 Perda de audição neuro-sensorial não especificada"
"H906"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H90 Perda de audição por transtorno de condução e/ou neuro-sensorial","H906 Perda de audição bilateral mista, de condução e neuro-sensorial"
"H907"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H90 Perda de audição por transtorno de condução e/ou neuro-sensorial","H907 Perda de audição unilateral mista, de condução e neuro-sensorial, sem restrição de audição contralateral"
"H908"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H90 Perda de audição por transtorno de condução e/ou neuro-sensorial","H908 Perda de audição mista, de condução e neuro-sensorial, não especificada"
"H910"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H91 Outras perdas de audição","H910 Perda de audição ototóxica"
"H911"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H91 Outras perdas de audição","H911 Presbiacusia"
"H912"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H91 Outras perdas de audição","H912 Perda de audição súbita idiopática"
"H913"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H91 Outras perdas de audição","H913 Surdo-mudez não classificada em outra parte"
"H918"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H91 Outras perdas de audição","H918 Outras perdas de audição especificadas"
"H919"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H91 Outras perdas de audição","H919 Perda não especificada de audição"
"H920"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H92 Otalgia e secreção auditiva","H920 Otalgia"
"H921"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H92 Otalgia e secreção auditiva","H921 Otorréia"
"H922"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H92 Otalgia e secreção auditiva","H922 Otorragia"
"H930"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H93 Outros transtornos do ouvido não classificados em outra parte","H930 Transtornos degenerativos e vasculares do ouvido"
"H931"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H93 Outros transtornos do ouvido não classificados em outra parte","H931 Tinnitus"
"H932"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H93 Outros transtornos do ouvido não classificados em outra parte","H932 Outras percepções auditivas anormais"
"H933"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H93 Outros transtornos do ouvido não classificados em outra parte","H933 Transtornos do nervo acústico"
"H938"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H93 Outros transtornos do ouvido não classificados em outra parte","H938 Outros transtornos especificados do ouvido"
"H939"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H93 Outros transtornos do ouvido não classificados em outra parte","H939 Transtorno não especificado do ouvido"
"H940"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H94 Outros transtornos do ouvido em doenças classificadas em outra parte","H940 Neurite acústica em doenças infecciosas e parasitárias classificadas em outra parte"
"H948"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H94 Outros transtornos do ouvido em doenças classificadas em outra parte","H948 Outros transtornos especificados do ouvido em doenças classificadas em outra parte"
"H950"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H95 Transtornos do ouvido e da apófise mastóide pós-procedimentos, não classificados em outra parte","H950 Colesteatoma recorrente da cavidade pós-mastoidectomia"
"H951"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H95 Transtornos do ouvido e da apófise mastóide pós-procedimentos, não classificados em outra parte","H951 Outros transtornos consequentes à mastoidectomia"
"H958"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H95 Transtornos do ouvido e da apófise mastóide pós-procedimentos, não classificados em outra parte","H958 Outros transtornos do ouvido e da apófise mastóide pós-procedimento"
"H959"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H95 Transtornos do ouvido e da apófise mastóide pós-procedimentos, não classificados em outra parte","H959 Transtorno não especificado do ouvido e da apófise mastóide pós-procedimento"
"I00"," IX - Doenças do aparelho circulatório","Febre reumática aguda","I00 Febre reumática sem menção de comprometimento do coração","I00 Febre reumática sem menção de comprometimento do coração"
"I010"," IX - Doenças do aparelho circulatório","Febre reumática aguda","I01 Febre reumática com comprometimento do coração","I010 Pericardite reumática aguda"
"I011"," IX - Doenças do aparelho circulatório","Febre reumática aguda","I01 Febre reumática com comprometimento do coração","I011 Endocardite reumática aguda"
"I012"," IX - Doenças do aparelho circulatório","Febre reumática aguda","I01 Febre reumática com comprometimento do coração","I012 Miocardite reumática aguda"
"I018"," IX - Doenças do aparelho circulatório","Febre reumática aguda","I01 Febre reumática com comprometimento do coração","I018 Outras formas de doença cardíaca reumática aguda"
"I019"," IX - Doenças do aparelho circulatório","Febre reumática aguda","I01 Febre reumática com comprometimento do coração","I019 Doença cardíaca reumática aguda não especificada"
"I020"," IX - Doenças do aparelho circulatório","Febre reumática aguda","I02 Coréia reumática","I020 Coréia reumática com comprometimento cardíaco"
"I029"," IX - Doenças do aparelho circulatório","Febre reumática aguda","I02 Coréia reumática","I029 Coréia reumática sem comprometimento cardíaco"
"I050"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I05 Doenças reumáticas da valva mitral","I050 Estenose mitral"
"I051"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I05 Doenças reumáticas da valva mitral","I051 Insuficiência mitral reumática"
"I052"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I05 Doenças reumáticas da valva mitral","I052 Estenose mitral com insuficiência"
"I058"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I05 Doenças reumáticas da valva mitral","I058 Outras doenças da valva mitral"
"I059"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I05 Doenças reumáticas da valva mitral","I059 Doença não especificada da valva mitral"
"I060"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I06 Doenças reumáticas da valva aórtica","I060 Estenose aórtica reumática"
"I061"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I06 Doenças reumáticas da valva aórtica","I061 Insuficiência aórtica reumática"
"I062"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I06 Doenças reumáticas da valva aórtica","I062 Estenose aórtica reumática com insuficiência"
"I068"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I06 Doenças reumáticas da valva aórtica","I068 Outras doenças reumáticas da valva aórtica"
"I069"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I06 Doenças reumáticas da valva aórtica","I069 Doença reumática da valva aórtica, não especificada"
"I070"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I07 Doenças reumáticas da valva tricúspide","I070 Estenose tricúspide"
"I071"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I07 Doenças reumáticas da valva tricúspide","I071 Insuficiência tricúspide"
"I072"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I07 Doenças reumáticas da valva tricúspide","I072 Estenose tricúspide com insuficiência"
"I078"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I07 Doenças reumáticas da valva tricúspide","I078 Outras doenças da valva tricúspide"
"I079"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I07 Doenças reumáticas da valva tricúspide","I079 Doença não especificada da valva tricúspide"
"I080"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I08 Doenças de múltiplas valvas","I080 Transtornos de valvas mitral e aórtica"
"I081"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I08 Doenças de múltiplas valvas","I081 Transtornos de ambas as valvas mitral e tricúspide"
"I082"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I08 Doenças de múltiplas valvas","I082 Transtornos de ambas as valvas aórtica e tricúspide"
"I083"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I08 Doenças de múltiplas valvas","I083 Transtornos das valvas mitral, aórtica e tricúspide"
"I088"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I08 Doenças de múltiplas valvas","I088 Outras doenças de múltiplas valvas"
"I089"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I08 Doenças de múltiplas valvas","I089 Doença não especificada de múltiplas valvas"
"I090"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I09 Outras doenças reumáticas do coração","I090 Miocardite reumática"
"I091"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I09 Outras doenças reumáticas do coração","I091 Doenças reumáticas do endocárdio, valva não especificada"
"I092"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I09 Outras doenças reumáticas do coração","I092 Pericardite reumática crônica"
"I098"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I09 Outras doenças reumáticas do coração","I098 Outras doenças reumáticas especificadas do coração"
"I099"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I09 Outras doenças reumáticas do coração","I099 Doença cardíaca reumática não especificada"
"I10"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I10 Hipertensão essencial (primária)","I10 Hipertensão essencial (primária)"
"I110"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I11 Doença cardíaca hipertensiva","I110 Doença cardíaca hipertensiva com insuficiência cardíaca (congestiva)"
"I119"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I11 Doença cardíaca hipertensiva","I119 Doença cardíaca hipertensiva sem insuficiência cardíaca (congestiva)"
"I120"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I12 Doença renal hipertensiva","I120 Doença renal hipertensiva com insuficiência renal"
"I129"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I12 Doença renal hipertensiva","I129 Doença renal hipertensiva sem insuficiência renal"
"I130"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I13 Doença cardíaca e renal hipertensiva","I130 Doença cardíaca e renal hipertensiva com insuficiência cardíaca (congestiva)"
"I131"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I13 Doença cardíaca e renal hipertensiva","I131 Doença cardíaca e renal hipertensiva com insuficiência renal"
"I132"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I13 Doença cardíaca e renal hipertensiva","I132 Doença cardíaca e renal hipertensiva com insuficiência cardíaca (congestiva) e insuficiência renal"
"I139"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I13 Doença cardíaca e renal hipertensiva","I139 Doença cardíaca e renal hipertensiva, não especificada"
"I150"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I15 Hipertensão secundária","I150 Hipertensão renovascular"
"I151"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I15 Hipertensão secundária","I151 Hipertensão secundária a outras afecções renais"
"I152"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I15 Hipertensão secundária","I152 Hipertensão secundária a afecções endócrinas"
"I158"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I15 Hipertensão secundária","I158 Outras formas de hipertensão secundária"
"I159"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I15 Hipertensão secundária","I159 Hipertensão secundária, não especificada"
"I200"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I20 Angina pectoris","I200 Angina instável"
"I201"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I20 Angina pectoris","I201 Angina pectoris com espasmo documentado"
"I208"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I20 Angina pectoris","I208 Outras formas de angina pectoris"
"I209"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I20 Angina pectoris","I209 Angina pectoris, não especificada"
"I210"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I21 Infarto agudo do miocárdio","I210 Infarto agudo transmural da parede anterior do miocárdio"
"I211"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I21 Infarto agudo do miocárdio","I211 Infarto agudo transmural da parede inferior do miocárdio"
"I212"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I21 Infarto agudo do miocárdio","I212 Infarto agudo transmural do miocárdio de outras localizações"
"I213"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I21 Infarto agudo do miocárdio","I213 Infarto agudo transmural do miocárdio, de localização não especificada"
"I214"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I21 Infarto agudo do miocárdio","I214 Infarto agudo subendocárdico do miocárdio"
"I219"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I21 Infarto agudo do miocárdio","I219 Infarto agudo do miocárdio não especificado"
"I220"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I22 Infarto do miocárdio recorrente","I220 Infarto do miocárdio recorrente da parede anterior"
"I221"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I22 Infarto do miocárdio recorrente","I221 Infarto do miocárdio recorrente da parede inferior"
"I228"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I22 Infarto do miocárdio recorrente","I228 Infarto do miocárdio recorrente de outras localizações"
"I229"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I22 Infarto do miocárdio recorrente","I229 Infarto do miocárdio recorrente de localização não especificada"
"I230"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I23 Algumas complicações atuais subsequentes ao infarto agudo do miocárdio","I230 Hemopericárdio como complicação atual subsequente ao infarto agudo do miocárdio"
"I231"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I23 Algumas complicações atuais subsequentes ao infarto agudo do miocárdio","I231 Comunicação interatrial como complicação atual subsequente ao infarto agudo do miocárdio"
"I232"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I23 Algumas complicações atuais subsequentes ao infarto agudo do miocárdio","I232 Comunicação interventricular como complicação atual subsequente ao infarto agudo do miocárdio"
"I233"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I23 Algumas complicações atuais subsequentes ao infarto agudo do miocárdio","I233 Ruptura da parede do coração sem ocorrência de hemopericárdio como complicação atual subsequente ao infarto agudo do miocárdio"
"I234"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I23 Algumas complicações atuais subsequentes ao infarto agudo do miocárdio","I234 Ruptura de cordoalhas tendíneas como complicação atual subsequente ao infarto agudo do miocárdio"
"I235"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I23 Algumas complicações atuais subsequentes ao infarto agudo do miocárdio","I235 Ruptura de músculos papilares como complicação atual subsequente ao infarto agudo do miocárdio"
"I236"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I23 Algumas complicações atuais subsequentes ao infarto agudo do miocárdio","I236 Trombose de átrio, aurícula e ventrículo como complicação atual subsequente ao infarto agudo do miocárdio"
"I238"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I23 Algumas complicações atuais subsequentes ao infarto agudo do miocárdio","I238 Outras complicações atuais subsequentes ao infarto agudo do miocárdio"
"I240"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I24 Outras doenças isquêmicas agudas do coração","I240 Trombose coronária que não resulta em infarto do miocárdio"
