"causabas","capitulo_cid10","grupo_cid10","causabas_categoria"
"G04"," VI - Doenças do sistema nervoso","Doenças inflamatórias do sistema nervoso central","G04 Encefalite, mielite e encefalomielite"
"G05"," VI - Doenças do sistema nervoso","Doenças inflamatórias do sistema nervoso central","G05 Encefalite, mielite e encefalomielite em doenças classificadas em outra parte"
"G06"," VI - Doenças do sistema nervoso","Doenças inflamatórias do sistema nervoso central","G06 Abscesso e granuloma intracranianos e intra-raquidianos"
"G07"," VI - Doenças do sistema nervoso","Doenças inflamatórias do sistema nervoso central","G07 Abscesso e granuloma intracranianos e intraspinais em doenças classificadas em outra parte"
"G08"," VI - Doenças do sistema nervoso","Doenças inflamatórias do sistema nervoso central","G08 Flebite e tromboflebite intracranianas e intra-raquidianas"
"G09"," VI - Doenças do sistema nervoso","Doenças inflamatórias do sistema nervoso central","G09 Sequelas de doenças inflamatórias do sistema nervoso central"
"G10"," VI - Doenças do sistema nervoso","Atrofias sistêmicas que afetam principalmente o sistema nervoso central","G10 Doença de Huntington"
"G11"," VI - Doenças do sistema nervoso","Atrofias sistêmicas que afetam principalmente o sistema nervoso central","G11 Ataxia hereditária"
"G12"," VI - Doenças do sistema nervoso","Atrofias sistêmicas que afetam principalmente o sistema nervoso central","G12 Atrofia muscular espinal e síndromes correlatas"
"G13"," VI - Doenças do sistema nervoso","Atrofias sistêmicas que afetam principalmente o sistema nervoso central","G13 Atrofias sistêmicas que afetam principalmente o sistema nervoso central em doenças classificadas em outra parte"
"G20"," VI - Doenças do sistema nervoso","Doenças extrapiramidais e transtornos dos movimentos","G20 Doença de Parkinson"
"G21"," VI - Doenças do sistema nervoso","Doenças extrapiramidais e transtornos dos movimentos","G21 Parkinsonismo secundário"
"G22"," VI - Doenças do sistema nervoso","Doenças extrapiramidais e transtornos dos movimentos","G22 Parkinsonismo em doenças classificadas em outra parte"
"G23"," VI - Doenças do sistema nervoso","Doenças extrapiramidais e transtornos dos movimentos","G23 Outras doenças degenerativas dos gânglios da base"
"G24"," VI - Doenças do sistema nervoso","Doenças extrapiramidais e transtornos dos movimentos","G24 Distonia"
"G25"," VI - Doenças do sistema nervoso","Doenças extrapiramidais e transtornos dos movimentos","G25 Outras doenças extrapiramidais e transtornos dos movimentos"
"G26"," VI - Doenças do sistema nervoso","Doenças extrapiramidais e transtornos dos movimentos","G26 Doenças extrapiramidais e transtornos dos movimentos em doenças classificadas em outra parte"
"G30"," VI - Doenças do sistema nervoso","Outras doenças degenerativas do sistema nervoso","G30 Doença de Alzheimer"
"G31"," VI - Doenças do sistema nervoso","Outras doenças degenerativas do sistema nervoso","G31 Outras doenças degenerativas do sistema nervoso não classificadas em outra parte"
"G32"," VI - Doenças do sistema nervoso","Outras doenças degenerativas do sistema nervoso","G32 Outros transtornos degenerativos do sistema nervoso em doenças classificadas em outra parte"
"G35"," VI - Doenças do sistema nervoso","Doenças desmielinizantes do sistema nervoso central","G35 Esclerose múltipla"
"G36"," VI - Doenças do sistema nervoso","Doenças desmielinizantes do sistema nervoso central","G36 Outras desmielinizações disseminadas agudas"
"G37"," VI - Doenças do sistema nervoso","Doenças desmielinizantes do sistema nervoso central","G37 Outras doenças desmielinizantes do sistema nervoso central"
"G40"," VI - Doenças do sistema nervoso","Transtornos episódicos e paroxísticos","G40 Epilepsia"
"G41"," VI - Doenças do sistema nervoso","Transtornos episódicos e paroxísticos","G41 Estado de mal epiléptico"
"G43"," VI - Doenças do sistema nervoso","Transtornos episódicos e paroxísticos","G43 Enxaqueca"
"G44"," VI - Doenças do sistema nervoso","Transtornos episódicos e paroxísticos","G44 Outras síndromes de algias cefálicas"
"G45"," VI - Doenças do sistema nervoso","Transtornos episódicos e paroxísticos","G45 Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas"
"G46"," VI - Doenças do sistema nervoso","Transtornos episódicos e paroxísticos","G46 Síndromes vasculares cerebrais que ocorrem em doenças cerebrovasculares"
"G47"," VI - Doenças do sistema nervoso","Transtornos episódicos e paroxísticos","G47 Distúrbios do sono"
"G50"," VI - Doenças do sistema nervoso","Transtornos dos nervos, das raízes e dos plexos nervosos","G50 Transtornos do nervo trigêmeo"
"G51"," VI - Doenças do sistema nervoso","Transtornos dos nervos, das raízes e dos plexos nervosos","G51 Transtornos do nervo facial"
"G52"," VI - Doenças do sistema nervoso","Transtornos dos nervos, das raízes e dos plexos nervosos","G52 Transtornos de outros nervos cranianos"
"G53"," VI - Doenças do sistema nervoso","Transtornos dos nervos, das raízes e dos plexos nervosos","G53 Transtornos dos nervos cranianos em doenças classificadas em outra parte"
"G54"," VI - Doenças do sistema nervoso","Transtornos dos nervos, das raízes e dos plexos nervosos","G54 Transtornos das raízes e dos plexos nervosos"
"G55"," VI - Doenças do sistema nervoso","Transtornos dos nervos, das raízes e dos plexos nervosos","G55 Compressões das raízes e dos plexos nervosos em doenças classificadas em outra parte"
"G56"," VI - Doenças do sistema nervoso","Transtornos dos nervos, das raízes e dos plexos nervosos","G56 Mononeuropatias dos membros superiores"
"G57"," VI - Doenças do sistema nervoso","Transtornos dos nervos, das raízes e dos plexos nervosos","G57 Mononeuropatias dos membros inferiores"
"G58"," VI - Doenças do sistema nervoso","Transtornos dos nervos, das raízes e dos plexos nervosos","G58 Outras mononeuropatias"
"G59"," VI - Doenças do sistema nervoso","Transtornos dos nervos, das raízes e dos plexos nervosos","G59 Mononeuropatias em doenças classificadas em outra parte"
"G60"," VI - Doenças do sistema nervoso","Polineuropatias e outros transtornos do sistema nervoso periférico","G60 Neuropatia hereditária e idiopática"
"G61"," VI - Doenças do sistema nervoso","Polineuropatias e outros transtornos do sistema nervoso periférico","G61 Polineuropatia inflamatória"
"G62"," VI - Doenças do sistema nervoso","Polineuropatias e outros transtornos do sistema nervoso periférico","G62 Outras polineuropatias"
"G63"," VI - Doenças do sistema nervoso","Polineuropatias e outros transtornos do sistema nervoso periférico","G63 Polineuropatia em doenças classificadas em outra parte"
"G64"," VI - Doenças do sistema nervoso","Polineuropatias e outros transtornos do sistema nervoso periférico","G64 Outros transtornos do sistema nervoso periférico"
"G70"," VI - Doenças do sistema nervoso","Doenças da junção mioneural e dos músculos","G70 Miastenia gravis e outros transtornos neuromusculares"
"G71"," VI - Doenças do sistema nervoso","Doenças da junção mioneural e dos músculos","G71 Transtornos primários dos músculos"
"G72"," VI - Doenças do sistema nervoso","Doenças da junção mioneural e dos músculos","G72 Outras miopatias"
"G73"," VI - Doenças do sistema nervoso","Doenças da junção mioneural e dos músculos","G73 Transtornos da junção mioneural e dos músculos em doenças classificadas em outra parte"
"G80"," VI - Doenças do sistema nervoso","Paralisia cerebral e outras síndromes paralíticas","G80 Paralisia cerebral"
"G81"," VI - Doenças do sistema nervoso","Paralisia cerebral e outras síndromes paralíticas","G81 Hemiplegia"
"G82"," VI - Doenças do sistema nervoso","Paralisia cerebral e outras síndromes paralíticas","G82 Paraplegia e tetraplegia"
"G83"," VI - Doenças do sistema nervoso","Paralisia cerebral e outras síndromes paralíticas","G83 Outras síndromes paralíticas"
"G90"," VI - Doenças do sistema nervoso","Outros transtornos do sistema nervoso","G90 Transtornos do sistema nervoso autônomo"
"G91"," VI - Doenças do sistema nervoso","Outros transtornos do sistema nervoso","G91 Hidrocefalia"
"G92"," VI - Doenças do sistema nervoso","Outros transtornos do sistema nervoso","G92 Encefalopatia tóxica"
"G93"," VI - Doenças do sistema nervoso","Outros transtornos do sistema nervoso","G93 Outros transtornos do encéfalo"
"G94"," VI - Doenças do sistema nervoso","Outros transtornos do sistema nervoso","G94 Outros transtornos do encéfalo em doenças classificadas em outra parte"
"G95"," VI - Doenças do sistema nervoso","Outros transtornos do sistema nervoso","G95 Outras doenças da medula espinal"
"G96"," VI - Doenças do sistema nervoso","Outros transtornos do sistema nervoso","G96 Outros transtornos do sistema nervoso central"
"G97"," VI - Doenças do sistema nervoso","Outros transtornos do sistema nervoso","G97 Transtornos pós-procedimento do sistema nervoso não classificados em outra parte"
"G98"," VI - Doenças do sistema nervoso","Outros transtornos do sistema nervoso","G98 Outros transtornos do sistema nervoso não classificados em outra parte"
"G99"," VI - Doenças do sistema nervoso","Outros transtornos do sistema nervoso","G99 Outros transtornos do sistema nervoso em doenças classificadas em outra parte"
"H00"," VII - Doenças do olho e anexos","Transtornos da pálpebra, do aparelho lacrimal e da órbita","H00 Hordéolo e calázio"
"H01"," VII - Doenças do olho e anexos","Transtornos da pálpebra, do aparelho lacrimal e da órbita","H01 Outras inflamações da pálpebra"
"H02"," VII - Doenças do olho e anexos","Transtornos da pálpebra, do aparelho lacrimal e da órbita","H02 Outros transtornos da pálpebra"
"H03"," VII - Doenças do olho e anexos","Transtornos da pálpebra, do aparelho lacrimal e da órbita","H03 Transtornos da pálpebra em doenças classificadas em outras partes"
"H04"," VII - Doenças do olho e anexos","Transtornos da pálpebra, do aparelho lacrimal e da órbita","H04 Transtornos do aparelho lacrimal"
"H05"," VII - Doenças do olho e anexos","Transtornos da pálpebra, do aparelho lacrimal e da órbita","H05 Transtornos da órbita"
"H06"," VII - Doenças do olho e anexos","Transtornos da pálpebra, do aparelho lacrimal e da órbita","H06 Transtornos do aparelho lacrimal e da órbita em doenças classificadas em outra parte"
"H10"," VII - Doenças do olho e anexos","Transtornos da conjuntiva","H10 Conjuntivite"
"H11"," VII - Doenças do olho e anexos","Transtornos da conjuntiva","H11 Outros transtornos da conjuntiva"
"H13"," VII - Doenças do olho e anexos","Transtornos da conjuntiva","H13 Transtornos da conjuntiva em doenças classificadas em outra parte"
"H15"," VII - Doenças do olho e anexos","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar","H15 Transtornos da esclerótica"
"H16"," VII - Doenças do olho e anexos","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar","H16 Ceratite"
"H17"," VII - Doenças do olho e anexos","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar","H17 Cicatrizes e opacidades da córnea"
"H18"," VII - Doenças do olho e anexos","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar","H18 Outros transtornos da córnea"
"H19"," VII - Doenças do olho e anexos","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar","H19 Transtorno da esclerótica e da córnea em doenças classificadas em outra parte"
"H20"," VII - Doenças do olho e anexos","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar","H20 Iridociclite"
"H21"," VII - Doenças do olho e anexos","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar","H21 Outros transtornos da íris e do corpo ciliar"
"H22"," VII - Doenças do olho e anexos","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar","H22 Transtornos da íris e do corpo ciliar em doenças classificadas em outra parte"
"H25"," VII - Doenças do olho e anexos","Transtornos do cristalino","H25 Catarata senil"
"H26"," VII - Doenças do olho e anexos","Transtornos do cristalino","H26 Outras cataratas"
"H27"," VII - Doenças do olho e anexos","Transtornos do cristalino","H27 Outros transtornos do cristalino"
"H28"," VII - Doenças do olho e anexos","Transtornos do cristalino","H28 Catarata e outros transtornos do cristalino em doenças classificadas em outra parte"
"H30"," VII - Doenças do olho e anexos","Transtornos da coróide e da retina","H30 Inflamação coriorretiniana"
"H31"," VII - Doenças do olho e anexos","Transtornos da coróide e da retina","H31 Outros transtornos da coróide"
"H32"," VII - Doenças do olho e anexos","Transtornos da coróide e da retina","H32 Transtornos coriorretinianos em doenças classificadas em outra parte"
"H33"," VII - Doenças do olho e anexos","Transtornos da coróide e da retina","H33 Descolamentos e defeitos da retina"
"H34"," VII - Doenças do olho e anexos","Transtornos da coróide e da retina","H34 Oclusões vasculares da retina"
"H35"," VII - Doenças do olho e anexos","Transtornos da coróide e da retina","H35 Outros transtornos da retina"
"H36"," VII - Doenças do olho e anexos","Transtornos da coróide e da retina","H36 Transtornos da retina em doenças classificadas em outra parte"
"H40"," VII - Doenças do olho e anexos","Glaucoma","H40 Glaucoma"
"H42"," VII - Doenças do olho e anexos","Glaucoma","H42 Glaucoma em doenças classificadas em outra parte"
"H43"," VII - Doenças do olho e anexos","Transtornos do humor vítreo e do globo ocular","H43 Transtornos do humor vítreo"
"H44"," VII - Doenças do olho e anexos","Transtornos do humor vítreo e do globo ocular","H44 Transtornos do globo ocular"
"H45"," VII - Doenças do olho e anexos","Transtornos do humor vítreo e do globo ocular","H45 Transtornos do humor vítreo e do globo ocular em doenças classificadas em outra parte"
"H46"," VII - Doenças do olho e anexos","Transtornos do nervo óptico e das vias ópticas","H46 Neurite óptica"
"H47"," VII - Doenças do olho e anexos","Transtornos do nervo óptico e das vias ópticas","H47 Outros transtornos do nervo óptico e das vias ópticas"
"H48"," VII - Doenças do olho e anexos","Transtornos do nervo óptico e das vias ópticas","H48 Transtornos do nervo óptico (segundo par) e das vias ópticas em doenças classificadas em outra parte"
"H49"," VII - Doenças do olho e anexos","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração","H49 Estrabismo paralítico"
"H50"," VII - Doenças do olho e anexos","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração","H50 Outros estrabismos"
"H51"," VII - Doenças do olho e anexos","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração","H51 Outros transtornos do movimento binocular"
"H52"," VII - Doenças do olho e anexos","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração","H52 Transtornos da refração e da acomodação"
"H53"," VII - Doenças do olho e anexos","Transtornos visuais e cegueira","H53 Distúrbios visuais"
"H54"," VII - Doenças do olho e anexos","Transtornos visuais e cegueira","H54 Cegueira e visão subnormal"
"H55"," VII - Doenças do olho e anexos","Outros transtornos do olho e anexos","H55 Nistagmo e outros movimentos irregulares do olho"
"H57"," VII - Doenças do olho e anexos","Outros transtornos do olho e anexos","H57 Outros transtornos do olho e anexos"
"H58"," VII - Doenças do olho e anexos","Outros transtornos do olho e anexos","H58 Outros transtornos do olho e anexos em doenças classificadas em outra parte"
"H59"," VII - Doenças do olho e anexos","Outros transtornos do olho e anexos","H59 Transtornos do olho e anexos pós-procedimento não classificados em outra parte"
"H60"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido externo","H60 Otite externa"
"H61"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido externo","H61 Outros transtornos do ouvido externo"
"H62"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido externo","H62 Transtornos do ouvido externo em doenças classificadas em outra parte"
"H65"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H65 Otite média não-supurativa"
"H66"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H66 Otite média supurativa e as não especificadas"
"H67"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H67 Otite média em doenças classificadas em outra parte"
"H68"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H68 Salpingite e obstrução da trompa de Eustáquio"
"H69"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H69 Outros transtornos da trompa de Eustáquio"
"H70"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H70 Mastoidite e afecções correlatas"
"H71"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H71 Colesteatoma do ouvido médio"
"H72"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H72 Perfuração da membrana do tímpano"
"H73"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H73 Outros transtornos da membrana do tímpano"
"H74"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H74 Outros transtornos do ouvido médio e da mastóide"
"H75"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido médio e da mastóide","H75 Outros transtornos do ouvido médio e da mastóide em doenças classificadas em outra parte"
"H80"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H80 Otosclerose"
"H81"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H81 Transtornos da função vestibular"
"H82"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H82 Síndromes vertiginosas em doenças classificadas em outra parte"
"H83"," VIII - Doenças do ouvido e da apófise mastóide","Doenças do ouvido interno","H83 Outros transtornos do ouvido interno"
"H90"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H90 Perda de audição por transtorno de condução e/ou neuro-sensorial"
"H91"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H91 Outras perdas de audição"
"H92"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H92 Otalgia e secreção auditiva"
"H93"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H93 Outros transtornos do ouvido não classificados em outra parte"
"H94"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H94 Outros transtornos do ouvido em doenças classificadas em outra parte"
"H95"," VIII - Doenças do ouvido e da apófise mastóide","Outros transtornos do ouvido","H95 Transtornos do ouvido e da apófise mastóide pós-procedimentos, não classificados em outra parte"
"I00"," IX - Doenças do aparelho circulatório","Febre reumática aguda","I00 Febre reumática sem menção de comprometimento do coração"
"I01"," IX - Doenças do aparelho circulatório","Febre reumática aguda","I01 Febre reumática com comprometimento do coração"
"I02"," IX - Doenças do aparelho circulatório","Febre reumática aguda","I02 Coréia reumática"
"I05"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I05 Doenças reumáticas da valva mitral"
"I06"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I06 Doenças reumáticas da valva aórtica"
"I07"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I07 Doenças reumáticas da valva tricúspide"
"I08"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I08 Doenças de múltiplas valvas"
"I09"," IX - Doenças do aparelho circulatório","Doenças reumáticas crônicas do coração","I09 Outras doenças reumáticas do coração"
"I10"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I10 Hipertensão essencial (primária)"
"I11"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I11 Doença cardíaca hipertensiva"
"I12"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I12 Doença renal hipertensiva"
"I13"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I13 Doença cardíaca e renal hipertensiva"
"I15"," IX - Doenças do aparelho circulatório","Doenças hipertensivas","I15 Hipertensão secundária"
"I20"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I20 Angina pectoris"
"I21"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I21 Infarto agudo do miocárdio"
"I22"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I22 Infarto do miocárdio recorrente"
"I23"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I23 Algumas complicações atuais subsequentes ao infarto agudo do miocárdio"
"I24"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I24 Outras doenças isquêmicas agudas do coração"
"I25"," IX - Doenças do aparelho circulatório","Doenças isquêmicas do coração","I25 Doença isquêmica crônica do coração"
"I26"," IX - Doenças do aparelho circulatório","Doenças cardíaca pulmonar e da circulação pulmonar","I26 Embolia pulmonar"
"I27"," IX - Doenças do aparelho circulatório","Doenças cardíaca pulmonar e da circulação pulmonar","I27 Outras formas de doença cardíaca pulmonar"
"I28"," IX - Doenças do aparelho circulatório","Doenças cardíaca pulmonar e da circulação pulmonar","I28 Outras doenças dos vasos pulmonares"
"I30"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I30 Pericardite aguda"
"I31"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I31 Outras doenças do pericárdio"
"I32"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I32 Pericardite em doenças classificadas em outra parte"
"I33"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I33 Endocardite aguda e subaguda"
"I34"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I34 Transtornos não-reumáticos da valva mitral"
"I35"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I35 Transtornos não-reumáticos da valva aórtica"
"I36"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I36 Transtornos não-reumáticos da valva tricúspide"
"I37"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I37 Transtornos da valva pulmonar"
"I38"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I38 Endocardite de valva não especificada"
"I39"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I39 Endocardite e transtornos valvulares cardíacos em doenças classificadas em outra parte"
"I40"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I40 Miocardite aguda"
"I41"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I41 Miocardite em doenças classificadas em outra parte"
"I42"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I42 Cardiomiopatias"
"I43"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I43 Cardiomiopatia em doenças classificadas em outra parte"
"I44"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I44 Bloqueio atrioventricular e do ramo esquerdo"
"I45"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I45 Outros transtornos de condução"
"I46"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I46 Parada cardíaca"
"I47"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I47 Taquicardia paroxística"
"I48"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I48 Flutter e fibrilação atrial"
"I49"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I49 Outras arritmias cardíacas"
"I50"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I50 Insuficiência cardíaca"
"I51"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I51 Complicações de cardiopatias e doenças cardíacas mal definidas"
"I52"," IX - Doenças do aparelho circulatório","Outras formas de doença do coração","I52 Outras afecções cardíacas em doenças classificadas em outra parte"
"I60"," IX - Doenças do aparelho circulatório","Doenças cerebrovasculares","I60 Hemorragia subaracnóide"
"I61"," IX - Doenças do aparelho circulatório","Doenças cerebrovasculares","I61 Hemorragia intracerebral"
"I62"," IX - Doenças do aparelho circulatório","Doenças cerebrovasculares","I62 Outras hemorragias intracranianas não-traumáticas"
"I63"," IX - Doenças do aparelho circulatório","Doenças cerebrovasculares","I63 Infarto cerebral"
"I64"," IX - Doenças do aparelho circulatório","Doenças cerebrovasculares","I64 Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico"
"I65"," IX - Doenças do aparelho circulatório","Doenças cerebrovasculares","I65 Oclusão e estenose de artérias pré-cerebrais que não resultam em infarto cerebral"
"I66"," IX - Doenças do aparelho circulatório","Doenças cerebrovasculares","I66 Oclusão e estenose de artérias cerebrais que não resultam em infarto cerebral"
"I67"," IX - Doenças do aparelho circulatório","Doenças cerebrovasculares","I67 Outras doenças cerebrovasculares"
"I68"," IX - Doenças do aparelho circulatório","Doenças cerebrovasculares","I68 Transtornos cerebrovasculares em doenças classificadas em outra parte"
"I69"," IX - Doenças do aparelho circulatório","Doenças cerebrovasculares","I69 Sequelas de doenças cerebrovasculares"
"I70"," IX - Doenças do aparelho circulatório","Doenças das artérias, das arteríolas e dos capilares","I70 Aterosclerose"
"I71"," IX - Doenças do aparelho circulatório","Doenças das artérias, das arteríolas e dos capilares","I71 Aneurisma e dissecção da aorta"
"I72"," IX - Doenças do aparelho circulatório","Doenças das artérias, das arteríolas e dos capilares","I72 Outros aneurismas"
"I73"," IX - Doenças do aparelho circulatório","Doenças das artérias, das arteríolas e dos capilares","I73 Outras doenças vasculares periféricas"
"I74"," IX - Doenças do aparelho circulatório","Doenças das artérias, das arteríolas e dos capilares","I74 Embolia e trombose arteriais"
"I77"," IX - Doenças do aparelho circulatório","Doenças das artérias, das arteríolas e dos capilares","I77 Outras afecções das artérias e arteríolas"
"I78"," IX - Doenças do aparelho circulatório","Doenças das artérias, das arteríolas e dos capilares","I78 Doenças dos capilares"
"I79"," IX - Doenças do aparelho circulatório","Doenças das artérias, das arteríolas e dos capilares","I79 Transtornos das artérias, das arteríolas e dos capilares em doenças classificadas em outra parte"
"I80"," IX - Doenças do aparelho circulatório","Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte","I80 Flebite e tromboflebite"
"I81"," IX - Doenças do aparelho circulatório","Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte","I81 Trombose da veia porta"
"I82"," IX - Doenças do aparelho circulatório","Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte","I82 Outra embolia e trombose venosas"
"I83"," IX - Doenças do aparelho circulatório","Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte","I83 Varizes dos membros inferiores"
"I84"," IX - Doenças do aparelho circulatório","Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte","I84 Hemorróidas"
"I85"," IX - Doenças do aparelho circulatório","Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte","I85 Varizes esofagianas"
"I86"," IX - Doenças do aparelho circulatório","Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte","I86 Varizes de outras localizações"
"I87"," IX - Doenças do aparelho circulatório","Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte","I87 Outros transtornos das veias"
"I88"," IX - Doenças do aparelho circulatório","Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte","I88 Linfadenite inespecífica"
"I89"," IX - Doenças do aparelho circulatório","Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte","I89 Outros transtornos não-infecciosos dos vasos linfáticos e dos gânglios linfáticos"
"I95"," IX - Doenças do aparelho circulatório","Outros transtornos, e os não especificados do aparelho circulatório","I95 Hipotensão"
"I97"," IX - Doenças do aparelho circulatório","Outros transtornos, e os não especificados do aparelho circulatório","I97 Transtornos do aparelho circulatório, subsequentes a procedimentos não classificados em outra parte"
"I98"," IX - Doenças do aparelho circulatório","Outros transtornos, e os não especificados do aparelho circulatório","I98 Outros transtornos do aparelho circulatório em doenças classificadas em outra parte"
"I99"," IX - Doenças do aparelho circulatório","Outros transtornos, e os não especificados do aparelho circulatório","I99 Outros transtornos do aparelho circulatório e os não especificados"
"J00"," X - Doenças do aparelho respiratório","Infecções agudas das vias aéreas superiores","J00 Nasofaringite aguda (resfriado comum)"
"J01"," X - Doenças do aparelho respiratório","Infecções agudas das vias aéreas superiores","J01 Sinusite aguda"
"J02"," X - Doenças do aparelho respiratório","Infecções agudas das vias aéreas superiores","J02 Faringite aguda"
"J03"," X - Doenças do aparelho respiratório","Infecções agudas das vias aéreas superiores","J03 Amigdalite aguda"
"J04"," X - Doenças do aparelho respiratório","Infecções agudas das vias aéreas superiores","J04 Laringite e traqueíte agudas"
"J05"," X - Doenças do aparelho respiratório","Infecções agudas das vias aéreas superiores","J05 Laringite obstrutiva aguda (crupe) e epiglotite"
"J06"," X - Doenças do aparelho respiratório","Infecções agudas das vias aéreas superiores","J06 Infecções agudas das vias aéreas superiores de localizações múltiplas e não especificadas"
"J09"," X - Doenças do aparelho respiratório","Influenza (gripe) e pneumonia","J09 Influenza (gripe) devida a vírus identificado da gripe aviária"
"J10"," X - Doenças do aparelho respiratório","Influenza (gripe) e pneumonia","J10 Influenza devida a outro vírus da influenza (gripe) identificado"
"J11"," X - Doenças do aparelho respiratório","Influenza (gripe) e pneumonia","J11 Influenza (gripe) devida a vírus não identificado"
