"causabas","grupo_cid10"
"G622","Polineuropatias e outros transtornos do sistema nervoso periférico"
"G628","Polineuropatias e outros transtornos do sistema nervoso periférico"
"G629","Polineuropatias e outros transtornos do sistema nervoso periférico"
"G630","Polineuropatias e outros transtornos do sistema nervoso periférico"
"G631","Polineuropatias e outros transtornos do sistema nervoso periférico"
"G632","Polineuropatias e outros transtornos do sistema nervoso periférico"
"G633","Polineuropatias e outros transtornos do sistema nervoso periférico"
"G634","Polineuropatias e outros transtornos do sistema nervoso periférico"
"G635","Polineuropatias e outros transtornos do sistema nervoso periférico"
"G636","Polineuropatias e outros transtornos do sistema nervoso periférico"
"G638","Polineuropatias e outros transtornos do sistema nervoso periférico"
"G64","Polineuropatias e outros transtornos do sistema nervoso periférico"
"G800","Paralisia cerebral e outras síndromes paralíticas"
"G801","Paralisia cerebral e outras síndromes paralíticas"
"G802","Paralisia cerebral e outras síndromes paralíticas"
"G803","Paralisia cerebral e outras síndromes paralíticas"
"G804","Paralisia cerebral e outras síndromes paralíticas"
"G808","Paralisia cerebral e outras síndromes paralíticas"
"G809","Paralisia cerebral e outras síndromes paralíticas"
"G810","Paralisia cerebral e outras síndromes paralíticas"
"G811","Paralisia cerebral e outras síndromes paralíticas"
"G819","Paralisia cerebral e outras síndromes paralíticas"
"G820","Paralisia cerebral e outras síndromes paralíticas"
"G821","Paralisia cerebral e outras síndromes paralíticas"
"G822","Paralisia cerebral e outras síndromes paralíticas"
"G823","Paralisia cerebral e outras síndromes paralíticas"
"G824","Paralisia cerebral e outras síndromes paralíticas"
"G825","Paralisia cerebral e outras síndromes paralíticas"
"G830","Paralisia cerebral e outras síndromes paralíticas"
"G831","Paralisia cerebral e outras síndromes paralíticas"
"G832","Paralisia cerebral e outras síndromes paralíticas"
"G833","Paralisia cerebral e outras síndromes paralíticas"
"G834","Paralisia cerebral e outras síndromes paralíticas"
"G838","Paralisia cerebral e outras síndromes paralíticas"
"G839","Paralisia cerebral e outras síndromes paralíticas"
"G910","Outros transtornos do sistema nervoso"
"G911","Outros transtornos do sistema nervoso"
"G912","Outros transtornos do sistema nervoso"
"G913","Outros transtornos do sistema nervoso"
"G918","Outros transtornos do sistema nervoso"
"G919","Outros transtornos do sistema nervoso"
"G92","Outros transtornos do sistema nervoso"
"G930","Outros transtornos do sistema nervoso"
"G931","Outros transtornos do sistema nervoso"
"G932","Outros transtornos do sistema nervoso"
"G933","Outros transtornos do sistema nervoso"
"G934","Outros transtornos do sistema nervoso"
"G935","Outros transtornos do sistema nervoso"
"G936","Outros transtornos do sistema nervoso"
"G938","Outros transtornos do sistema nervoso"
"G939","Outros transtornos do sistema nervoso"
"G940","Outros transtornos do sistema nervoso"
"G941","Outros transtornos do sistema nervoso"
"G942","Outros transtornos do sistema nervoso"
"G948","Outros transtornos do sistema nervoso"
"G961","Outros transtornos do sistema nervoso"
"G968","Outros transtornos do sistema nervoso"
"G969","Outros transtornos do sistema nervoso"
"G98","Outros transtornos do sistema nervoso"
"G990","Outros transtornos do sistema nervoso"
"G991","Outros transtornos do sistema nervoso"
"G992","Outros transtornos do sistema nervoso"
"G998","Outros transtornos do sistema nervoso"
"H000","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H001","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H010","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H018","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H019","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H020","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H021","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H022","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H023","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H024","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H025","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H026","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H027","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H028","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H029","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H030","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H031","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H038","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H040","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H041","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H042","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H043","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H044","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H045","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H046","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H048","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H049","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H052","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H053","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H054","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H058","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H059","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H060","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H061","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H062","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H063","Transtornos da pálpebra, do aparelho lacrimal e da órbita"
"H100","Transtornos da conjuntiva"
"H101","Transtornos da conjuntiva"
"H102","Transtornos da conjuntiva"
"H103","Transtornos da conjuntiva"
"H104","Transtornos da conjuntiva"
"H105","Transtornos da conjuntiva"
"H108","Transtornos da conjuntiva"
"H109","Transtornos da conjuntiva"
"H110","Transtornos da conjuntiva"
"H111","Transtornos da conjuntiva"
"H112","Transtornos da conjuntiva"
"H113","Transtornos da conjuntiva"
"H114","Transtornos da conjuntiva"
"H118","Transtornos da conjuntiva"
"H119","Transtornos da conjuntiva"
"H130","Transtornos da conjuntiva"
"H131","Transtornos da conjuntiva"
"H132","Transtornos da conjuntiva"
"H133","Transtornos da conjuntiva"
"H138","Transtornos da conjuntiva"
"H150","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H151","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H158","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H159","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H160","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H161","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H162","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H163","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H164","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H168","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H169","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H170","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H171","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H178","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H179","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H180","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H181","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H182","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H183","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H184","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H185","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H186","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H187","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H188","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H189","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H190","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H191","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H192","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H193","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H198","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H200","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H201","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H202","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H208","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H209","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H210","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H211","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H212","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H213","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H214","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H215","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H218","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H219","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H220","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H221","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H228","Transtornos da esclerótica, da córnea, da íris e do corpo ciliar"
"H250","Transtornos do cristalino"
"H251","Transtornos do cristalino"
"H252","Transtornos do cristalino"
"H258","Transtornos do cristalino"
"H259","Transtornos do cristalino"
"H260","Transtornos do cristalino"
"H261","Transtornos do cristalino"
"H263","Transtornos do cristalino"
"H264","Transtornos do cristalino"
"H268","Transtornos do cristalino"
"H269","Transtornos do cristalino"
"H270","Transtornos do cristalino"
"H271","Transtornos do cristalino"
"H278","Transtornos do cristalino"
"H279","Transtornos do cristalino"
"H280","Transtornos do cristalino"
"H281","Transtornos do cristalino"
"H282","Transtornos do cristalino"
"H288","Transtornos do cristalino"
"H301","Transtornos da coróide e da retina"
"H302","Transtornos da coróide e da retina"
"H308","Transtornos da coróide e da retina"
"H309","Transtornos da coróide e da retina"
"H310","Transtornos da coróide e da retina"
"H311","Transtornos da coróide e da retina"
"H312","Transtornos da coróide e da retina"
"H313","Transtornos da coróide e da retina"
"H314","Transtornos da coróide e da retina"
"H318","Transtornos da coróide e da retina"
"H319","Transtornos da coróide e da retina"
"H320","Transtornos da coróide e da retina"
"H328","Transtornos da coróide e da retina"
"H330","Transtornos da coróide e da retina"
"H331","Transtornos da coróide e da retina"
"H332","Transtornos da coróide e da retina"
"H333","Transtornos da coróide e da retina"
"H334","Transtornos da coróide e da retina"
"H335","Transtornos da coróide e da retina"
"H340","Transtornos da coróide e da retina"
"H341","Transtornos da coróide e da retina"
"H342","Transtornos da coróide e da retina"
"H349","Transtornos da coróide e da retina"
"H350","Transtornos da coróide e da retina"
"H351","Transtornos da coróide e da retina"
"H352","Transtornos da coróide e da retina"
"H353","Transtornos da coróide e da retina"
"H354","Transtornos da coróide e da retina"
"H355","Transtornos da coróide e da retina"
"H356","Transtornos da coróide e da retina"
"H357","Transtornos da coróide e da retina"
"H358","Transtornos da coróide e da retina"
"H359","Transtornos da coróide e da retina"
"H360","Transtornos da coróide e da retina"
"H368","Transtornos da coróide e da retina"
"H400","Glaucoma"
"H401","Glaucoma"
"H402","Glaucoma"
"H403","Glaucoma"
"H404","Glaucoma"
"H405","Glaucoma"
"H406","Glaucoma"
"H408","Glaucoma"
"H409","Glaucoma"
"H420","Glaucoma"
"H428","Glaucoma"
"H430","Transtornos do humor vítreo e do globo ocular"
"H431","Transtornos do humor vítreo e do globo ocular"
"H432","Transtornos do humor vítreo e do globo ocular"
"H433","Transtornos do humor vítreo e do globo ocular"
"H438","Transtornos do humor vítreo e do globo ocular"
"H439","Transtornos do humor vítreo e do globo ocular"
"H440","Transtornos do humor vítreo e do globo ocular"
"H441","Transtornos do humor vítreo e do globo ocular"
"H442","Transtornos do humor vítreo e do globo ocular"
"H443","Transtornos do humor vítreo e do globo ocular"
"H444","Transtornos do humor vítreo e do globo ocular"
"H445","Transtornos do humor vítreo e do globo ocular"
"H446","Transtornos do humor vítreo e do globo ocular"
"H447","Transtornos do humor vítreo e do globo ocular"
"H448","Transtornos do humor vítreo e do globo ocular"
"H449","Transtornos do humor vítreo e do globo ocular"
"H450","Transtornos do humor vítreo e do globo ocular"
"H451","Transtornos do humor vítreo e do globo ocular"
"H458","Transtornos do humor vítreo e do globo ocular"
"H46","Transtornos do nervo óptico e das vias ópticas"
"H470","Transtornos do nervo óptico e das vias ópticas"
"H471","Transtornos do nervo óptico e das vias ópticas"
"H472","Transtornos do nervo óptico e das vias ópticas"
"H473","Transtornos do nervo óptico e das vias ópticas"
"H474","Transtornos do nervo óptico e das vias ópticas"
"H475","Transtornos do nervo óptico e das vias ópticas"
"H476","Transtornos do nervo óptico e das vias ópticas"
"H477","Transtornos do nervo óptico e das vias ópticas"
"H480","Transtornos do nervo óptico e das vias ópticas"
"H481","Transtornos do nervo óptico e das vias ópticas"
"H488","Transtornos do nervo óptico e das vias ópticas"
"H490","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H491","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H492","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H493","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H494","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H498","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H499","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H500","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H501","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H502","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H503","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H504","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H505","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H506","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H508","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H509","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H510","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H511","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H512","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H518","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H519","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H520","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H521","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H522","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H523","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H524","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H525","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H526","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H527","Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração"
"H530","Transtornos visuais e cegueira"
"H531","Transtornos visuais e cegueira"
"H532","Transtornos visuais e cegueira"
"H533","Transtornos visuais e cegueira"
"H534","Transtornos visuais e cegueira"
"H535","Transtornos visuais e cegueira"
"H536","Transtornos visuais e cegueira"
"H538","Transtornos visuais e cegueira"
"H539","Transtornos visuais e cegueira"
"H540","Transtornos visuais e cegueira"
"H541","Transtornos visuais e cegueira"
"H542","Transtornos visuais e cegueira"
"H543","Transtornos visuais e cegueira"
"H544","Transtornos visuais e cegueira"
"H545","Transtornos visuais e cegueira"
"H546","Transtornos visuais e cegueira"
"H547","Transtornos visuais e cegueira"
"H55","Outros transtornos do olho e anexos"
"H570","Outros transtornos do olho e anexos"
"H571","Outros transtornos do olho e anexos"
"H578","Outros transtornos do olho e anexos"
"H579","Outros transtornos do olho e anexos"
"H580","Outros transtornos do olho e anexos"
"H588","Outros transtornos do olho e anexos"
"H590","Outros transtornos do olho e anexos"
"H598","Outros transtornos do olho e anexos"
"H600","Doenças do ouvido externo"
"H601","Doenças do ouvido externo"
"H602","Doenças do ouvido externo"
"H603","Doenças do ouvido externo"
"H604","Doenças do ouvido externo"
"H605","Doenças do ouvido externo"
"H608","Doenças do ouvido externo"
"H609","Doenças do ouvido externo"
"H610","Doenças do ouvido externo"
"H611","Doenças do ouvido externo"
"H612","Doenças do ouvido externo"
"H613","Doenças do ouvido externo"
"H618","Doenças do ouvido externo"
"H619","Doenças do ouvido externo"
"H620","Doenças do ouvido externo"
"H621","Doenças do ouvido externo"
"H622","Doenças do ouvido externo"
"H623","Doenças do ouvido externo"
"H624","Doenças do ouvido externo"
"H628","Doenças do ouvido externo"
"H650","Doenças do ouvido médio e da mastóide"
"H651","Doenças do ouvido médio e da mastóide"
"H652","Doenças do ouvido médio e da mastóide"
"H653","Doenças do ouvido médio e da mastóide"
"H654","Doenças do ouvido médio e da mastóide"
"H659","Doenças do ouvido médio e da mastóide"
"H660","Doenças do ouvido médio e da mastóide"
"H661","Doenças do ouvido médio e da mastóide"
"H662","Doenças do ouvido médio e da mastóide"
"H663","Doenças do ouvido médio e da mastóide"
"H664","Doenças do ouvido médio e da mastóide"
"H669","Doenças do ouvido médio e da mastóide"
"H670","Doenças do ouvido médio e da mastóide"
"H671","Doenças do ouvido médio e da mastóide"
"H678","Doenças do ouvido médio e da mastóide"
"H680","Doenças do ouvido médio e da mastóide"
"H681","Doenças do ouvido médio e da mastóide"
"H690","Doenças do ouvido médio e da mastóide"
"H698","Doenças do ouvido médio e da mastóide"
"H699","Doenças do ouvido médio e da mastóide"
"H71","Doenças do ouvido médio e da mastóide"
"H720","Doenças do ouvido médio e da mastóide"
"H721","Doenças do ouvido médio e da mastóide"
"H722","Doenças do ouvido médio e da mastóide"
"H728","Doenças do ouvido médio e da mastóide"
"H729","Doenças do ouvido médio e da mastóide"
"H730","Doenças do ouvido médio e da mastóide"
"H731","Doenças do ouvido médio e da mastóide"
"H738","Doenças do ouvido médio e da mastóide"
"H739","Doenças do ouvido médio e da mastóide"
"H740","Doenças do ouvido médio e da mastóide"
"H741","Doenças do ouvido médio e da mastóide"
"H742","Doenças do ouvido médio e da mastóide"
"H743","Doenças do ouvido médio e da mastóide"
"H744","Doenças do ouvido médio e da mastóide"
"H748","Doenças do ouvido médio e da mastóide"
"H749","Doenças do ouvido médio e da mastóide"
"H750","Doenças do ouvido médio e da mastóide"
"H758","Doenças do ouvido médio e da mastóide"
"H800","Doenças do ouvido interno"
"H801","Doenças do ouvido interno"
"H802","Doenças do ouvido interno"
"H808","Doenças do ouvido interno"
"H809","Doenças do ouvido interno"
"H82","Doenças do ouvido interno"
"H830","Doenças do ouvido interno"
"H831","Doenças do ouvido interno"
"H832","Doenças do ouvido interno"
"H833","Doenças do ouvido interno"
"H838","Doenças do ouvido interno"
"H839","Doenças do ouvido interno"
"H900","Outros transtornos do ouvido"
"H901","Outros transtornos do ouvido"
"H902","Outros transtornos do ouvido"
"H903","Outros transtornos do ouvido"
"H904","Outros transtornos do ouvido"
"H905","Outros transtornos do ouvido"
"H906","Outros transtornos do ouvido"
"H907","Outros transtornos do ouvido"
"H908","Outros transtornos do ouvido"
"H910","Outros transtornos do ouvido"
"H911","Outros transtornos do ouvido"
"H912","Outros transtornos do ouvido"
"H913","Outros transtornos do ouvido"
"H918","Outros transtornos do ouvido"
"H919","Outros transtornos do ouvido"
"H920","Outros transtornos do ouvido"
"H921","Outros transtornos do ouvido"
"H922","Outros transtornos do ouvido"
"H930","Outros transtornos do ouvido"
"H931","Outros transtornos do ouvido"
"H932","Outros transtornos do ouvido"
"H933","Outros transtornos do ouvido"
"H938","Outros transtornos do ouvido"
"H939","Outros transtornos do ouvido"
"H940","Outros transtornos do ouvido"
"H948","Outros transtornos do ouvido"
"H950","Outros transtornos do ouvido"
"H951","Outros transtornos do ouvido"
"H958","Outros transtornos do ouvido"
"H959","Outros transtornos do ouvido"
"I10","Doenças hipertensivas"
"I150","Doenças hipertensivas"
"I151","Doenças hipertensivas"
"I152","Doenças hipertensivas"
"I158","Doenças hipertensivas"
"I159","Doenças hipertensivas"
"I260","Doenças cardíaca pulmonar e da circulação pulmonar"
"I269","Doenças cardíaca pulmonar e da circulação pulmonar"
"I270","Doenças cardíaca pulmonar e da circulação pulmonar"
"I272","Doenças cardíaca pulmonar e da circulação pulmonar"
"I278","Doenças cardíaca pulmonar e da circulação pulmonar"
"I279","Doenças cardíaca pulmonar e da circulação pulmonar"
"I289","Doenças cardíaca pulmonar e da circulação pulmonar"
"I312","Outras formas de doença do coração"
"I313","Outras formas de doença do coração"
"I440","Outras formas de doença do coração"
"I441","Outras formas de doença do coração"
"I442","Outras formas de doença do coração"
"I443","Outras formas de doença do coração"
"I444","Outras formas de doença do coração"
"I445","Outras formas de doença do coração"
"I446","Outras formas de doença do coração"
"I447","Outras formas de doença do coração"
"I450","Outras formas de doença do coração"
"I451","Outras formas de doença do coração"
"I452","Outras formas de doença do coração"
"I453","Outras formas de doença do coração"
"I454","Outras formas de doença do coração"
"I455","Outras formas de doença do coração"
"I456","Outras formas de doença do coração"
"I458","Outras formas de doença do coração"
"I459","Outras formas de doença do coração"
"I460","Outras formas de doença do coração"
"I461","Outras formas de doença do coração"
"I469","Outras formas de doença do coração"
"I490","Outras formas de doença do coração"
"I491","Outras formas de doença do coração"
"I492","Outras formas de doença do coração"
"I493","Outras formas de doença do coração"
"I494","Outras formas de doença do coração"
"I495","Outras formas de doença do coração"
"I498","Outras formas de doença do coração"
"I499","Outras formas de doença do coração"
"I500","Outras formas de doença do coração"
"I501","Outras formas de doença do coração"
"I509","Outras formas de doença do coração"
"I516","Outras formas de doença do coração"
"I517","Outras formas de doença do coração"
"I518","Outras formas de doença do coração"
"I519","Outras formas de doença do coração"
"I520","Outras formas de doença do coração"
"I521","Outras formas de doença do coração"
"I528","Outras formas de doença do coração"
"I621","Doenças cerebrovasculares"
"I629","Doenças cerebrovasculares"
"I64","Doenças cerebrovasculares"
"I674","Doenças cerebrovasculares"
"I678","Doenças cerebrovasculares"
"I679","Doenças cerebrovasculares"
"I688","Doenças cerebrovasculares"
"I694","Doenças cerebrovasculares"
"I698","Doenças cerebrovasculares"
"I700","Doenças das artérias, das arteríolas e dos capilares"
"I701","Doenças das artérias, das arteríolas e dos capilares"
"I708","Doenças das artérias, das arteríolas e dos capilares"
"I709","Doenças das artérias, das arteríolas e dos capilares"
"I740","Doenças das artérias, das arteríolas e dos capilares"
"I741","Doenças das artérias, das arteríolas e dos capilares"
"I742","Doenças das artérias, das arteríolas e dos capilares"
"I743","Doenças das artérias, das arteríolas e dos capilares"
"I744","Doenças das artérias, das arteríolas e dos capilares"
"I745","Doenças das artérias, das arteríolas e dos capilares"
"I748","Doenças das artérias, das arteríolas e dos capilares"
"I749","Doenças das artérias, das arteríolas e dos capilares"
"I950","Outros transtornos, e os não especificados do aparelho circulatório"
"I951","Outros transtornos, e os não especificados do aparelho circulatório"
"I958","Outros transtornos, e os não especificados do aparelho circulatório"
"I959","Outros transtornos, e os não especificados do aparelho circulatório"
"I988","Outros transtornos, e os não especificados do aparelho circulatório"
"I99","Outros transtornos, e os não especificados do aparelho circulatório"
"J00","Infecções agudas das vias aéreas superiores"
"J028","Infecções agudas das vias aéreas superiores"
"J029","Infecções agudas das vias aéreas superiores"
"J038","Infecções agudas das vias aéreas superiores"
"J039","Infecções agudas das vias aéreas superiores"
"J041","Infecções agudas das vias aéreas superiores"
"J042","Infecções agudas das vias aéreas superiores"
"J051","Infecções agudas das vias aéreas superiores"
"J060","Infecções agudas das vias aéreas superiores"
"J068","Infecções agudas das vias aéreas superiores"
"J069","Infecções agudas das vias aéreas superiores"
"J159","Influenza (gripe) e pneumonia"
"J170","Influenza (gripe) e pneumonia"
"J171","Influenza (gripe) e pneumonia"
"J172","Influenza (gripe) e pneumonia"
"J173","Influenza (gripe) e pneumonia"
"J178","Influenza (gripe) e pneumonia"
"J180","Influenza (gripe) e pneumonia"
"J181","Influenza (gripe) e pneumonia"
"J182","Influenza (gripe) e pneumonia"
"J188","Influenza (gripe) e pneumonia"
"J189","Influenza (gripe) e pneumonia"
"J22","Outras infecções agudas das vias aéreas inferiores"
"J64","Doenças pulmonares devidas a agentes externos"
"J690","Doenças pulmonares devidas a agentes externos"
"J691","Doenças pulmonares devidas a agentes externos"
"J698","Doenças pulmonares devidas a agentes externos"
"J80","Outras doenças respiratórias que afetam principalmente o interstício"
"J81","Outras doenças respiratórias que afetam principalmente o interstício"
"J850","Afecções necróticas e supurativas das vias aéreas inferiores"
"J851","Afecções necróticas e supurativas das vias aéreas inferiores"
"J852","Afecções necróticas e supurativas das vias aéreas inferiores"
"J853","Afecções necróticas e supurativas das vias aéreas inferiores"
"J860","Afecções necróticas e supurativas das vias aéreas inferiores"
"J869","Afecções necróticas e supurativas das vias aéreas inferiores"
"J90","Outras doenças da pleura"
"J930","Outras doenças da pleura"
"J931","Outras doenças da pleura"
"J938","Outras doenças da pleura"
"J939","Outras doenças da pleura"
"J940","Outras doenças da pleura"
"J941","Outras doenças da pleura"
"J942","Outras doenças da pleura"
"J948","Outras doenças da pleura"
"J949","Outras doenças da pleura"
"J960","Outras doenças do aparelho respiratório"
"J961","Outras doenças do aparelho respiratório"
"J969","Outras doenças do aparelho respiratório"
"J980","Outras doenças do aparelho respiratório"
"J981","Outras doenças do aparelho respiratório"
"J982","Outras doenças do aparelho respiratório"
"J983","Outras doenças do aparelho respiratório"
"J984","Outras doenças do aparelho respiratório"
"J985","Outras doenças do aparelho respiratório"
"J986","Outras doenças do aparelho respiratório"
"J988","Outras doenças do aparelho respiratório"
"J989","Outras doenças do aparelho respiratório"
"J990","Outras doenças do aparelho respiratório"
"J991","Outras doenças do aparelho respiratório"
"J998","Outras doenças do aparelho respiratório"
"K000","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K001","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K002","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K003","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K004","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K005","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K006","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K007","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K008","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K009","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K010","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K011","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K020","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K021","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K022","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K023","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K024","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K028","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K029","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K030","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K031","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K032","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K033","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K034","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
"K035","Doenças da cavidade oral, das glândulas salivares e dos maxilares"
